UF;zona;address;postal-code
BA;73;AV. PRESIDENTE VARGAS, S/N, FORUM DR. PAULO ALMEIDA, UBAITABA, BA, ## 45545000
BA;75;RUA S, S/N - LOTEAMENTO ARATU, BARREIRAS, BA, ## 47800000
BA;80;FORUM ELEITORAL - AV. FRANCISCO ARAUJO DE SOUZA, 397, TUCANO, BA, ## 48790000
BA;83;RUA DA INDEPENDENCIA, SN - FORUM PROF. ROGERIO GORDILHO DE FARIAS, UAUA, BA, ## 48950000
BA;85;PC MONSENHOR JOSE GILBERTO LUNA, S/N - FORUM MOACIR ALFREDO GUIMARAES, CURACA, BA, ## 48930000
BA;86;RUA CASTORINA DE OLIVEIRA NUNES  - FORUM DE MAIRI, MAIRI, BA, ## 44630000
BA;87;FORUM EDGAR MENDES DE QUINTELA, RUA CORINTO SILVA, N. 23, CENTRO, RUY BARBOSA, BA, ## 46800000
BA;93;PRACA JJ SEABRA, SNR, CACULE, BA, ## 46300000
BA;101;RUA JOSE MARIA TANAJURA, 241 - FORUM ELEITORAL DA 101 ZONA, LIVRAMENTO DE NOSSA SENHORA, BA, ## 46140000
BA;102;RUA TEREZINHA LIMA CAMPOS BATISTA, 119 - FORUM ANTONIO B. DE CARVALHO, EUCLIDES DA CUNHA, BA, ## 48500000
BA;104;RUA FILADELFO CARDOSO, 777, FORUM JOSE CARLITO CARNEIRO DOURADO, LAPAO, BA, ## 44905000
BA;105;FORUM SERVENTUARIO EDGAR GODOFREDO CARDOSO - LARGO DO ROSARIO, CENTRO, PIATA, BA, ## 46765000
BA;106;FORUM DES JOAO BALDOINO DE ANDRADE, RUA DR ELZIO FERREIRA DE SOUZA 101, QUEIMADAS, BA, ## 48860000
BA;107;PCA. APIO MEDRADO, S/N - FORUM SALVADOR FIGUEIREDO ANDRADE, SANTA TEREZINHA, BA, ## 44590000
BA;108;RUA AMANCINHO PEDREIRA, NUMERO 13, SAO GONCALO DOS CAMPOS, BA, ## 44330000
BA;112;AV.  PRESIDENTE KENNEDY, S/N, CENTRO - FORUM WALTER LAPA BARRETO, PRADO, BA, ## 45980000
BA;113;PRACA LAURO DE FREITAS - 237, CENTRO, RIACHO DE SANTANA, BA, ## 46470000
BA;114;RUA ANTONIO QUNTINO DA SILVA, 48, TANQUE DA NACAO, RIACHAO DO JACUIPE, BA, ## 44640000
BA;116;FORUM MINISTRO PEDRO DOS SANTOS - PCA. SAO BOAVENTURA, 40 - CENTRO, CANAVIEIRAS, BA, ## 45860000
BA;117;RUA DR. LUIZ GOMES, 100, URANDI, BA, ## 46350000
BA;119;PRACA SAO FRANCISCO DE ASSIS, S/N, FORUM DA COMARCA DE ANDARAI, ANDARAI, BA, ## 46830000
BA;123;R. SETE DE SETEMBRO, 328 - FORUM JULIO OLIVEIRA CARVALHO, ARACI, BA, ## 48760000
BA;129;RUA MINISTRO ERNESTO SIMOES FILHO, 340, CATU, BA, ## 48110000
BA;131;RUA PROFESSORA AUTA ANDRADE SOUZA,251, MURITIBA, BA, ## 44340000
BA;135;RUA ANTONIO TEIXEIRA, N 10, CENTRO, COARACI, BA, ## 45638000
BA;138;PCA LUIS VIANA FILHO, 269, ITARANTIM, BA, ## 45780000
BA;141;AVN DR. ANTONIO CALMON, S/N, ITAPARICA, BA, ## 44460000
BA;145;PRACA AURINO LOPES DA SILVA, S/N., SANTALUZ, BA, ## 48880000
BA;152;RUA PAULINO PRIMO, N. 09, CENTRO, ENCRUZILHADA, BA, ## 45150000
BA;159;RUA CANDIDO PEREIRA DE BRITO - 09, CENTRAL, BA, ## 44940000
BA;161;FORUM ABMAEL DO PRADO NOGUEIRA - AV. AGNELO CARDOSO S/N, ANAGE, BA, ## 45180000
BA;163;AVENIDA AIRTON SENNA S/N - FORUM ELEITORAL, ALAGOINHAS, BA, ## 48030640
BA;164;AVENIDA AYRTON SENNA, S/N - FORUM ELEITORAL, ALAGOINHAS, BA, ## 48030640
BA;165;PRACA MOISES FELIX DOS SANTOS, 145, CENTRO, CANDIDO SALES, BA, ## 45157000
BA;169;FORUM ELIEZER RODRIGUES DE SOUZA - R PROF. STA. VIEIRA DE CASTRO, 106, BARRA DA ESTIVA, BA, ## 46650000
BA;170;FORUM ELEITORAL - AV. DO CONTORNO, S/N - CENTRO ADMINISTRATIVO, CAMACARI, BA, ## 42800610
BA;171;AV. CONTORNO, FORUM ELEITORAL DE CAMACARI, CAB, CAMACARI, BA, ## 42800000
BA;174;AV. FRANCISCO BARBOSA DO NASCIMENTO S/N CENTRO, CANARANA, BA, ## 44890000
BA;175;FORUM DR. ALCEBIADES DIAS LARANJEIRA, - PRACA TIRADENTES, N. 274 - CEN, PALMAS DE MONTE ALTO, BA, ## 46460000
BA;182;PRACA ACM, S/N - FORUM QUINTINO DE CARVALHO CUNHA, RIACHAO DAS NEVES, BA, ## 47970000
BA;186;PRACA DOS TRES PODERES SN LESSA RIBEIRO, DIAS D'AVILA, BA, ## 42850000
BA;191;AVENIDA LUIS EDUARDO MAGALHAES, S/N, FORUM FERNANDO MARIO PIRES DALTRO, CAPIM GROSSO, BA, ## 44695000
BA;197;RUA DR. EDILBERTO QUINTELA VIEIRA LINS, 109, WENCESLAU GUIMARAES, BA, ## 45460000
BA;198;RUA JOSE SERAFIM DE FARIAS, S/N - FORUM DES. WILDE OLIVEIRA LIMA, URUCUCA, BA, ## 45680000
BA;200;PRIMEIRA TRAVESSA ANTONIO BATISTA, S/N, POJUCA, BA, ## 48120000
BA;201;PCA DA BANDEIRA, S/N - FORUM DES MARMORE NETO, ITAMBE, BA, ## 45140000
BA;202;RUA ALBERTINO LIRA, N 05, QUINTA DO INGLES, SANTO ANTONIO DE JESUS, BA, ## 44571069
BA;204;RUA SILVANDIR F. CHAVES, 108 COND. EMPRESARIAL TORRES BUSINESS, LJ 02, LAURO DE FREITAS, BA, ## 42700000
BA;205;RUA PIAUI, 590, EDF. FAINELLO, TERREO, LUIS EDUARDO MAGALHAES, BA, ## 47850000
CE;5;RUA PADRE ANTONIO PINTO, S/N (FORUM DA JUSTICA ESTADUAL), BATURITE, CE, ## 62760000
CE;6;TV TIRADENTES 452 - CALCADAO MANOEL RODRIGUES DA FONSECA, QUIXADA, CE, ## 63900129
CE;9;AVENIDA IRMA MARIA DA GRACA, 294, RUSSAS, CE, ## 62900000
CE;10;AV. 8 DE NOVEMBRO, SN, FORUM LOCAL, JAGUARIBE, CE, ## 63475000
CE;13;RUA JOAQUIM EDILMAR AMARO, 150, BUGI, IGUATU, CE, ## 63501010
CE;20;BR 226, KM 03, SN, CRATEUS, CE, ## 63700000
CE;30;PRACA DO LICEU, S/N - FORUM MONSENHOR SABINO DE LIMA FEIJAO, ACARAU, CE, ## 62580000
CE;31;RUA ZUCA SAMPAIO, S/N - FORUM DE BARBALHA (LAT -7.31934 LON -39.30241), BARBALHA, CE, ## 63180000
CE;35;PCA. DESTRINO CARNEIRO PASSOS, S/N FORUM, VICOSA DO CEARA, CE, ## 62300000
CE;38;RUA MANOEL MORAES, 83 -FORUM, CAMPOS SALES, CE, ## 63150000
CE;42;RUA INTERVENTOR ERIVANO CRUZ, N. 75 (JUAZEIRO DO NORTE), JARDIM, CE, ## 63290000
CE;46;RUA SILVINO SA BENEVIDES, S/N - ESQUINA COM RUA DR. ENEAS SA, MOMBACA, CE, ## 63610000
CE;49;RUA CORONEL CICERO NOGUEIRA 363, PACAJUS, CE, ## 62870000
CE;52;RUA PADRE BARROS, N. 264 (FORUM DA JUSTICA ESTADUAL), REDENCAO, CE, ## 62790000
CE;55;AV. PREF. JOSE SIFREDO PINHEIRO, 108, SOLONOPOLE, CE, ## 63620000
CE;57;PRACA CAP HENRIQUE GONCALVES DA JUSTA SN, PACATUBA, CE, ## 61800000
CE;64;RODOVIA CE 364, KM 61, S/N - FORUM DA JUSTICA COMUM, COREAU, CE, ## 62160000
CE;70;AV. ANTONIO FLORENTINO DE ARAUJO LIMA, S/N, BREJO SANTO, CE, ## 63260000
CE;73;FORUM ELEITORAL - RUA PROFESSORA SINHA MELO, S/N, IBIAPINA, CE, ## 62360000
CE;79;AV. JOSE CASSIMIRO DE ALBUQUERQUE, S/N, FORUM, RERIUTABA, CE, ## 62260000
CE;80;RUA VEREADOR ELISIO FLORENTINO TEIXEIRA, S/N, SABOEIRO, CE, ## 63590000
CE;85;AV. JOSE FARES LOPES, S/N, OROS, CE, ## 63520000
DF;10;SETOR DE INDUSTRIA BERNARDO SAYAO QUADRA 2 AE 1 CONJUNTO A, BRASILIA, DF, ## 71736206
DF;17;AREA ESPECIAL 11 - SETOR CENTRAL (LADO LESTE) - GAMA/DF, BRASILIA, DF, ## 72405000
ES;9;LADEIRA ROSALINA RIBEIRO NUNES, S/N, CENTRO, SANTA LEOPOLDINA, ES, ## 29640000
ES;10;RUA CANTIDIO ROBERTO DE MORAIS, 144, IBATIBA, ES, ## 29395000
ES;12;AV. LAURO FERREIRA PINTO, 575, CENTRO, ALFREDO CHAVES, ES, ## 29240000
ES;13;RUA EMILIANA EMERY, N 41, GUACUI, ES, ## 29560000
ES;17;RODOVIA DO SOL, 2.273 - ED. PARMAGNANI E SILVA - SALAS 04 E 05, ANCHIETA, ES, ## 29230000
ES;25;AVENIDA ARACRUZ, 810 (ESQUINA COM AVENIDA RUI BARBOSA), LINHARES, ES, ## 29900399
ES;28;AV. ARACRUZ, 810 (ESQUINA COM AV. RUI BARBOSA), LINHARES, ES, ## 29900399
ES;39;R. MATIAS BARBOSA DOS SANTOS, 187, PINHEIROS, ES, ## 29980000
ES;40;RUA GREGORIO ZANDONADE, 15, VENDA NOVA DO IMIGRANTE, ES, ## 29375000
ES;49;RUA ATILA VIVACQUA VIEIRA, 148, PRESIDENTE KENNEDY, ES, ## 29350000
ES;50;AV. AMALIA NEGREIRO DE CASTRO, 275, PEDRO CANARIO, ES, ## 29970000
ES;54;AV. JOSE SETTE, S/N, ITACIBA - ATENDIMENTO AO PUBLICO 11H ¿S 18H, CARIACICA, ES, ## 29150410
GO;4;CONJUNTO 11 HC, RUA 11, AREA ESPECIAL, EDIFICIO DO FORUM, NOVO GAMA, GO, ## 72860209
GO;6;AV. MANOEL DIAS MARQUES, QUADRA 62, LOTE 27, FORUM, CAIAPONIA, GO, ## 75850000
GO;9;RUA NOSSA SENHORA DA PENHA QD.01 LT.01/09, FORUM, CORUMBA DE GOIAS, GO, ## 72960000
GO;10;ED. DO FORUM, RUA CUMARI, CORUMBAIBA, GO, ## 75680000
GO;11;RUA ROSALVO OLIMPIO COSTA, SN, AO LADO DO FORUM, FORMOSA, GO, ## 73814085
GO;13;RUA RAUL CAETANO LEAL, LT. 02, INHUMAS, GO, ## 75400000
GO;17;AVENIDA ANA MUNDIM DE FREITAS, QD. 71, LT. 17, N16, AEROPORTO, JARAGUA, GO, ## 76330000
GO;18;RUA DO HIPODROMO ESQ. COM ELIONOR FRANCA N. 590, JATAI, GO, ## 75803018
