"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"114";"06-0114";"AV ALMIRANTE BARROSO 601 - FORUM ELEITORAL";"60060440";"PRAIA DE IRACEMA";"FORTALEZA";"CE"
"115";"06-0115";"AV ALMIRANTE BARROSO 601 - FORUM ELEITORAL";"60060440";"PRAIA DE IRACEMA";"FORTALEZA";"CE"
"116";"06-0116";"AV ALMIRANTE BARROSO 601 - FORUM ELEITORAL";"60060440";"PRAIA DE IRACEMA";"FORTALEZA";"CE"
"117";"06-0117";"AV ALMIRANTE BARROSO 601 - FORUM ELEITORAL";"60060440";"PRAIA DE IRACEMA";"FORTALEZA";"CE"
"118";"06-0118";"AV. ALMIRANTE BARROSO 601 - FORUM ELEITORAL";"60060440";"PRAIA DE IRACEMA";"FORTALEZA";"CE"
"119";"06-0119";"RUA INTERVENTOR ERIVANO CRUZ 75";"63010010";"CENTRO";"JUAZEIRO DO NORTE";"CE"
"120";"06-0120";"RUA JOSÉ ROCHA, N. 483";"61600070";"CENTRO";"CAUCAIA";"CE"
"121";"06-0121";"AV. DR. GUARANY, 230";"62042030";"DERBY CLUBE";"SOBRAL";"CE"
"122";"06-0122";"AV. EDSON QUEIROZ - S/N";"61905155";"CENTRO";"MARACANAÚ";"CE"
"123";"06-0123";"RUA JOSÉ ROCHA, 521";"61600070";"CENTRO";"CAUCAIA";"CE"
