"Nr Zona";"Cod Processual Res nº 65/CNJ";"Endereço";"CEP";"Bairro";"Município Sede";"UF";
"4";"19-0004";"RUA JARDIM BOTÂNICO 1060";"22460000";"JARDIM BOTÂNICO";"RIO DE JANEIRO";"RJ"
"5";"19-0005";"RUA MIGUEL LEMOS 97";"22071000";"COPACABANA";"RIO DE JANEIRO";"RJ"
"7";"19-0007";"RUA ANTONIO BASILIO 76";"20511190";"TIJUCA";"RIO DE JANEIRO";"RJ"
"8";"19-0008";"AVENIDA DOM HÉLDER CÂMARA, 4175";"20771000";"DEL CASTILHO";"RIO DE JANEIRO";"RJ"
"9";"19-0009";"AV AYRTON SENNA 2001 BLOCO C";"22775002";"BARRA DA TIJUCA";"RIO DE JANEIRO";"RJ"
"10";"19-0010";"RUA ASSIS CARNEIRO, 436";"20740260";"PIEDADE";"RIO DE JANEIRO";"RJ"
"14";"19-0014";"RUA GETULIO, 127";"20775000";"TODOS OS SANTOS";"RIO DE JANEIRO";"RJ"
"16";"19-0016";"RUA MINISTRO TAVARES DE LIRA 128";"22221060";"LARANJEIRAS";"RIO DE JANEIRO";"RJ"
"17";"19-0017";"RUA JARDIM BOTÂNICO 1060";"22460000";"JARDIM BOTÂNICO";"RIO DE JANEIRO";"RJ"
"21";"19-0021";"RUA FILOMENA NUNES 971";"21021380";"OLARIA";"RIO DE JANEIRO";"RJ"
"22";"19-0022";"AV. MONSENHOR FELIX 512- XIV REGIÃO ADMINISTRATIVA";"21235110";"IRAJÁ";"RIO DE JANEIRO";"RJ"
"23";"19-0023";"RUA JOAO VICENTE 1545 A";"21610210";"MARECHAL HERMES";"RIO DE JANEIRO";"RJ"
"24";"19-0024";"RUA FIGUEIREDO CAMARGO 1133 SALA 204";"21870210";"BANGU";"RIO DE JANEIRO";"RJ"
"25";"19-0025";"PRAÇA DA SUPERINTENDÊNCIA 420";"23570580";"SANTA CRUZ";"RIO DE JANEIRO";"RJ"
"26";"19-0026";"PRAÇA GETÚLIO VARGAS, 89/97 - ANTIGO FÓRUM";"28610175";"CENTRO";"NOVA FRIBURGO";"RJ"
"27";"19-0027";"TRAV. VILA IBOTY 16";"26255240";"CENTRO";"NOVA IGUAÇU";"RJ"
"28";"19-0028";"AV. MARECHAL CASTELO BRANCO, 119 SALA 301";"25850000";"CENTRO";"PARAÍBA DO SUL";"RJ"
"29";"19-0029";"AV. IPIRANGA, 545";"25610150";"CENTRO";"PETRÓPOLIS";"RJ"
"30";"19-0030";"RUA BARAO DO PIRAI 322";"27175000";"CENTRO";"PIRAÍ";"RJ"
"31";"19-0031";"PRACA MARECHAL JOSE PESSOA 95 - EDIFICIO DO FORUM";"27511380";"CENTRO";"RESENDE";"RJ"
"32";"19-0032";"RODOVIA LINHA VERDE, QUADRA X, LOTE 1 - CONDOMÍNIO INDUSTRIAL";"28800000";"GREEN VALLEY";"RIO BONITO";"RJ"
"33";"19-0033";"RUA BARAO DE MADALENA 50 SALA 01 SOBRELOJA";"28770000";"CENTRO";"SANTA MARIA MADALENA";"RJ"
"34";"19-0034";"AVENIDA JOÃO JASBICK, S/N - EDIFICIO DO FÓRUM";"28470000";"DEZESSETE";"SANTO ANTÔNIO DE PÁDUA";"RJ"
"35";"19-0035";"PRAÇA DA JUSTIÇA S/N, FÓRUM FRANCISCO POLYCARPO, 2 ANDAR, CENTRO";"28400000";"CENTRO";"SÃO FIDÉLIS";"RJ"
"36";"19-0036";"RUA FELICIANO SODRÉ 153- FUNDOS";"24440440";"CENTRO";"SÃO GONÇALO";"RJ"
"37";"19-0037";"RUA SÃO BENEDITO, 199";"28200000";"CENTRO";"SÃO JOÃO DA BARRA";"RJ"
"38";"19-0038";"RUA ALICE QUINTELA MAURICI REGADAS, 66 - TÉRREO";"25953240";"VÁRZEA";"TERESÓPOLIS";"RJ"
"39";"19-0039";"AV. CASTELO BRANCO, N. 81";"28750000";"CENTRO";"TRAJANO DE MORAES";"RJ"
"40";"19-0040";"AV. TENENTE ENEAS TORNO 42 EDIFICIO DO FORUM";"25802330";"NOVA NITERÓI";"TRÊS RIOS";"RJ"
"41";"19-0041";"RUA DOMINGOS DE ALMEIDA,65, CENTRO";"27700000";"CENTRO";"VASSOURAS";"RJ"
"42";"19-0042";"RUA NILO PEÇANHA, 347";"28660000";"CENTRO";"BOM JARDIM";"RJ"
"43";"19-0043";"RUA VIGARIO JOAO BATISTA, 14 - EDIFICIO DO FORUM";"28380000";"CENTRO";"NATIVIDADE";"RJ"
"44";"19-0044";"RUA PEDRO ÁLVARES CABRAL 305";"26525051";"CENTRO";"NILÓPOLIS";"RJ"
