4321493,TOROPI,RIO GRANDE DO SUL,TOROPI,-54.22801099673821,-29.472141699946,123.703753
4311130,JARI,RIO GRANDE DO SUL,JARI,-54.219935820282,-29.2900810960349,428.456448
4315321,QUEVEDOS,RIO GRANDE DO SUL,QUEVEDOS,-54.07125472235081,-29.3519213491659,419.618407
4311205,JÚLIO DE CASTILHOS,RIO GRANDE DO SUL,JÚLIO DE CASTILHOS,-53.683099614611,-29.2264491184703,528.455771
4322202,TUPANCIRETÃ,RIO GRANDE DO SUL,TUPANCIRETÃ,-53.8406300553464,-29.0774797292461,464.189257
4308409,FORMIGUEIRO,RIO GRANDE DO SUL,FORMIGUEIRO,-53.50029441494449,-29.9976338146029,123.164908
4315503,RESTINGA SECA,RIO GRANDE DO SUL,RESTINGA SECA,-53.3705685765474,-29.8139485358844,59.095519
4320651,SILVEIRA MARTINS,RIO GRANDE DO SUL,SILVEIRA MARTINS,-53.58523747361191,-29.6452500577358,433.416889
4310751,IVORÁ,RIO GRANDE DO SUL,IVORÁ,-53.5808856194398,-29.5195344835242,168.908176
4318432,SÃO JOÃO DO POLÊSINE,RIO GRANDE DO SUL,SÃO JOÃO DO POLÊSINE,-53.4463504348062,-29.6146764155532,56
4308003,FAXINAL DO SOTURNO,RIO GRANDE DO SUL,FAXINAL DO SOTURNO,-53.43906481970581,-29.5743295389602,88.681562
4306700,DONA FRANCISCA,RIO GRANDE DO SUL,DONA FRANCISCA,-53.36233318078499,-29.6248524905359,49.968409
4300109,AGUDO,RIO GRANDE DO SUL,AGUDO,-53.2586916877151,-29.645663362438,65.79378800000001
4314027,PARAÍSO DO SUL,RIO GRANDE DO SUL,PARAÍSO DO SUL,-53.17910023895459,-29.7313142393347,43.672999
4311239,LAGOA BONITA DO SUL,RIO GRANDE DO SUL,LAGOA BONITA DO SUL,-53.01698318078349,-29.4941313996333,590.266333
4313102,NOVA PALMA,RIO GRANDE DO SUL,NOVA PALMA,-53.4706351108828,-29.4730257371419,120.769776
4314472,PINHAL GRANDE,RIO GRANDE DO SUL,PINHAL GRANDE,-53.3386383371448,-29.3353601281098,458.934024
4309753,IBARAMA,RIO GRANDE DO SUL,IBARAMA,-53.1332000129437,-29.4207443602758,321.878999
4307815,ESTRELA VELHA,RIO GRANDE DO SUL,ESTRELA VELHA,-53.1602937786865,-29.1796613608976,401.5439539999999
4301206,ARROIO DO TIGRE,RIO GRANDE DO SUL,ARROIO DO TIGRE,-53.0863955671765,-29.3358596124972,349.517889
4320701,SOBRADINHO,RIO GRANDE DO SUL,SOBRADINHO,-53.0251679436161,-29.4147731333216,368.076194
4320263,SEGREDO,RIO GRANDE DO SUL,SEGREDO,-52.9820736412151,-29.3426184265204,338.059615
4316451,SALTO DO JACUÍ,RIO GRANDE DO SUL,SALTO DO JACUÍ,-53.2133096524064,-29.0886812470148,325.537791
4310876,JACUIZINHO,RIO GRANDE DO SUL,JACUIZINHO,-53.0565506587969,-29.0338163553105,300.623875
4304101,CAMPOS BORGES,RIO GRANDE DO SUL,CAMPOS BORGES,-52.99891473322801,-28.8921317665278,504.7913009999999
4318002,SÃO BORJA,RIO GRANDE DO SUL,SÃO BORJA,-56.0010291536185,-28.6628375259,94.80966100000001
4308656,GARRUCHOS,RIO GRANDE DO SUL,GARRUCHOS,-55.6340719501044,-28.1894767892825,89.971558
4310553,ITACURUBI,RIO GRANDE DO SUL,ITACURUBI,-55.23272326405159,-28.8022050322898,165.803751
4317707,SANTO ANTÔNIO DAS MISSÕES,RIO GRANDE DO SUL,SANTO ANTÔNIO DAS MISSÕES,-55.2245566426344,-28.5080969767999,200.88437
4302501,BOSSOROCA,RIO GRANDE DO SUL,BOSSOROCA,-54.9098109252545,-28.730724329428,260.54817
4318903,SÃO LUIZ GONZAGA,RIO GRANDE DO SUL,SÃO LUIZ GONZAGA,-54.9596595493639,-28.4066469522193,259.81157
4319208,SÃO NICOLAU,RIO GRANDE DO SUL,SÃO NICOLAU,-55.26010023202801,-28.1821546925196,159.493025
