id;uf;nome;populacao2010;pib2010;pibPerCapita2010;populacao2012;pib2012;pibPerCapita2012;populacao2014;pib2014;pibPerCapita2014;gini2000;gini2010
3138500;MG;Liberdade;5347;46487.224;8694.08;5279;52741.58;9990.83;5373;60513.128;11262.45;0.5518;0.6065
3548104;SP;Santo Antônio do Jardim;5943;78196.001;13157.66;5912;98684.069;16692.16;6065;129574.543;21364.31;0.4615;0.4296
1500107;PA;Abaetetuba;141054;583793.453;4138.79;144415;798053.279;5526.11;148873;1058231.988;7108.29;0.5865;0.5389
4219853;SC;Zortéa;2991;35327.221;11811.17;3046;41102.525;13493.93;3190;57278.105;17955.52;0.4244;0.4242
1303502;AM;Pauini;18153;76686.166;4224.43;18329;97519.643;5320.51;19265;134841.354;6999.29;0.6998;0.7268
2106326;MA;Maracaçumé;19142;83634.563;4369.17;19887;96020.164;4828.29;20549;125919.76;6127.78;0.6339;0.4833
3154903;MG;Rio Casca;14198;134045.314;9441.14;14042;150544.263;10721;14310;154608.38;10804.22;0.6105;0.4741
2412708;RN;São Pedro;6223;30789.259;4947.66;6154;41554.258;6752.4;6255;47158.69;7539.36;0.546;0.5254
2515930;PB;Sertãozinho;4395;23942.576;5447.69;4539;30593.875;6740.22;4811;36412.261;7568.54;0.5011;0.4742
5104609;MT;Itiquira;11493;549108.689;47777.66;11822;1058792.98;89561.24;12293;881202.251;71683.25;0.6091;0.4991
1500131;PA;Abel Figueiredo;6792;53598.698;7891.45;6905;44327.649;6419.65;7070;69498.59;9830.07;0.5183;0.5825
5006309;MS;Paranaíba;40174;611468.82;15220.51;40462;745775.785;18431.51;41363;1011918.977;24464.35;0.6323;0.5007
3171303;MG;Viçosa;72244;797394.505;11037.52;73333;1052774.067;14356.08;76745;1309742.461;17066.16;0.6101;0.5628
4301800;RS;Barracão;5355;109023.876;20359.27;5322;120257.825;22596.36;5491;148470.815;27038.94;0.5926;0.5879
5219308;GO;Santa Helena de Goiás;36459;559354.217;15342.01;36760;817637.081;22242.58;38188;944599.957;24735.52;0.5185;0.5303
4203501;SC;Campo Erê;9370;194818.917;20791.77;9222;236213.601;25614.14;9098;223505.793;24566.48;0.5944;0.5121
1303536;AM;Presidente Figueiredo;27121;314535.23;11597.48;28652;590572.416;20611.91;31903;679140.451;21287.67;0.6212;0.5384
4105201;PR;Cerro Azul;16948;143703.648;8479.09;17027;171958.664;10099.18;17689;215377.32;12175.78;0.6254;0.4882
2204659;PI;Ilha Grande;8914;35420.612;3973.59;9069;42704.029;4708.79;9176;59673.431;6503.21;0.4884;0.5132
5105150;MT;Juína;39260;475733.004;12117.5;39442;591325.184;14992.27;39640;779601.432;19667.04;0.5948;0.6052
2106359;MA;Marajá do Sena;8045;35697.129;4437.18;7751;43583.053;5622.89;7689;51623.534;6713.95;0.6181;0.6256
4318200;RS;São Francisco de Paula;20540;326081.008;15875.41;20660;359099.434;17381.39;21482;455271.547;21193.16;0.5672;0.4637
2515971;PB;Sobrado;7363;39397.262;5350.71;7447;49687.758;6672.18;7669;66548.282;8677.57;0.5202;0.4921
4121604;PR;Renascença;6810;121022.065;17771.23;6790;144137.933;21227.97;6986;206538.809;29564.67;0.5419;0.5789
2106375;MA;Maranhãozinho;14066;42660.407;3032.87;14524;56672.123;3901.96;15384;78780.706;5120.95;0.6352;0.5196
3204104;ES;Pinheiros;23891;312141.262;13065.22;24284;359055.153;14785.67;26309;393675.91;14963.55;0.5687;0.4991
1303569;AM;Rio Preto da Eva;25758;193863.213;7526.33;26948;318300.067;11811.64;29771;377104.461;12666.84;0.6044;0.5566
5006358;MS;Paranhos;12355;77859.653;6301.87;12673;101922.075;8042.46;13311;128203.097;9631.36;0.5196;0.6555
2909208;BA;Coronel João Sá;17066;97359.596;5704.89;16650;76106.675;4570.97;17256;114987.383;6663.62;0.5607;0.4883
2401305;RN;Augusto Severo;9289;41811.057;4501.14;9330;54633.31;5855.66;9688;104156.567;10751.09;0.6269;0.6815
3531803;SP;Monte Mor;48971;1924685.343;39302.55;50702;2622765.757;51729.04;54462;2950248.137;54170.76;0.5174;0.4557
1504976;PA;Nova Ipixuna;14645;67353.644;4599.09;15065;94782.273;6291.55;15632;111746.271;7148.56;0.585;0.5978
5219357;GO;Santa Isabel;3680;38686.921;10512.75;3701;42289.756;11426.58;3825;65026.383;17000.36;0.4341;0.3979
2303006;CE;Caridade;20020;71756.094;3584.22;20687;80672.333;3899.66;21524;101617.059;4721.1;0.5453;0.5244
2614303;PE;Moreilândia;11137;48480.461;4353.1;11020;60751.883;5512.88;11245;75775.31;6738.58;0.5648;0.542
2925600;BA;Presidente Dutra;13756;56193.32;4085;13807;69823.077;5057.08;14672;85673.396;5839.24;0.6033;0.5526
2516003;PB;Solânea;26689;128427.413;4812;26323;170630.668;6482.19;26925;218981.525;8133.02;0.6293;0.5773
2204709;PI;Inhuma;14868;53392.506;3591.1;14909;68625.848;4602.98;15032;95141.337;6329.25;0.5468;0.5298
2106409;MA;Mata Roma;15123;61116.656;4041.31;15657;77493.825;4949.47;16169;108930.041;6736.97;0.6416;0.5793
3548203;SP;Santo Antônio do Pinhal;6516;53740.605;8247.48;6510;64638.413;9929.1;6750;87289.938;12931.84;0.5789;0.476
